task,explained_output,rank,modality,feature,mean_abs_shap,mean_shap,feature_shap_correlation,direction
pam50,HER2-enriched,14,genomic,CCNB1,0.06295274835798662,-0.017855248681227582,0.7610918064767954,higher feature value increases the output
pam50,HER2-enriched,15,genomic,GRB7,0.055950128303039075,0.01204505192888269,0.6721891403420995,higher feature value increases the output
pam50,HER2-enriched,16,clinical,nodal_N0,0.04909997239053627,0.0034901013773347687,-0.33241677035665773,higher feature value decreases the output
pam50,HER2-enriched,17,clinical,stage_II,0.048842641363194605,0.0011799359715394273,0.7153693428850357,higher feature value increases the output
pam50,HER2-enriched,18,clinical,nodal_N2,0.04720239056323462,0.0028574842100865154,0.9500849095301945,higher feature value increases the output
pam50,HER2-enriched,19,genomic,MLPH,0.04630432002156806,0.0043018983751003815,-0.8109025400110633,higher feature value decreases the output
pam50,HER2-enriched,20,genomic,PHGDH,0.045821765259977824,0.007710235790961745,0.6160910607711535,higher feature value increases the output
pam50,Basal-like,1,genomic,FOXC1,0.5590294173991954,0.05395609205345596,0.878046567884534,higher feature value increases the output
pam50,Basal-like,2,genomic,ESR1,0.5094609191131978,0.09014861344360924,-0.916055244376413,higher feature value decreases the output
pam50,Basal-like,3,genomic,CDH3,0.09565648089110569,0.025020719548050657,0.7701656108843609,higher feature value increases the output
pam50,Basal-like,4,genomic,CEP55,0.07882811757708219,0.004246918343478299,-0.4538147421670004,higher feature value decreases the output
pam50,Basal-like,5,genomic,CCNE1,0.0651473928503824,0.01121289478063347,0.7947876344500987,higher feature value increases the output
pam50,Basal-like,6,genomic,KRT17,0.06499831976224275,0.009388018350033086,0.639114792927029,higher feature value increases the output
pam50,Basal-like,7,clinical,nodal_N2,0.05869400253612974,-0.0012744353151168844,0.9211067204887763,higher feature value increases the output
pam50,Basal-like,8,clinical,age,0.05482387464966,-0.014382947416594715,0.14146291488739338,higher feature value increases the output
pam50,Basal-like,9,genomic,MAPT,0.052833803320740884,-0.001862540169330159,-0.24642869675201237,higher feature value decreases the output
pam50,Basal-like,10,genomic,NAT1,0.04912637497464613,0.007929884302876163,-0.6080990664598241,higher feature value decreases the output
pam50,Basal-like,11,genomic,ERBB2,0.04860021059812929,0.002148693389364886,0.6325786342552451,higher feature value increases the output
pam50,Basal-like,12,genomic,ANLN,0.04547662558184459,0.0084536767347316,0.01989699364404501,mixed (no consistent direction across patients)
