task,modality,feature,mean_abs_shap,rank
pam50,genomic,ACTR3B,0.024585742507692344,28
pam50,genomic,BLVRA,0.0244678937008795,29
pam50,genomic,GPR160,0.02297413377702572,30
pam50,clinical,nodal_N1,0.022940598047070885,31
pam50,genomic,BIRC5,0.021807149120269934,32
pam50,genomic,MYBL2,0.021552440774128778,33
pam50,genomic,EGFR,0.02122782438124464,34
pam50,genomic,BCL2,0.018486021501538382,35
pam50,genomic,FOXA1,0.01805593635659166,36
pam50,genomic,PGR,0.017349944964405166,37
pam50,genomic,SFRP1,0.01695682439479211,38
pam50,genomic,KRT14,0.016605958205122874,39
pam50,genomic,SLC39A6,0.014120565726198579,40
pam50,genomic,CDC20,0.01227953055552301,41
pam50,genomic,MYC,0.01227823979172475,42
pam50,genomic,KIF2C,0.01203607057714742,43
pam50,genomic,MDM2,0.011416370070033743,44
pam50,genomic,MIA,0.01119481650490389,45
pam50,genomic,BAG1,0.010260745471110257,46
pam50,clinical,stage_IV,0.00989830852215301,47
pam50,genomic,KRT5,0.009438542939843749,48
pam50,genomic,TYMS,0.00907031003101461,49
pam50,genomic,MMP11,0.0089469451284278,50
pam50,genomic,ORC6L,0.008809832798615145,51
pam50,clinical,nodal_N3,0.008780592550869399,52
pam50,genomic,MELK,0.008307778192708283,53
pam50,genomic,UBE2C,0.007899428582833438,54
pam50,genomic,NDC80,0.006734728440626644,55
pam50,genomic,UBE2T,0.0066185712444007975,56
pam50,genomic,NUF2,0.006600339124812437,57
pam50,genomic,MKI67,0.006554381827066772,58
pam50,genomic,PTTG1,0.005620039434348257,59
pam50,clinical,stage_Unknown,0.004455272396409302,60
pam50,clinical,nodal_Unknown,0.0019516918949687725,61
pam50,clinical,sex_male,0.00155039326474448,62
pam50_luminal_a,genomic,ESR1,0.48429623880644135,1
pam50_luminal_a,genomic,FOXC1,0.31905455790411485,2
pam50_luminal_a,genomic,MAPT,0.1419836087453064,3
pam50_luminal_a,genomic,ANLN,0.12773680772083346,4
pam50_luminal_a,genomic,NAT1,0.11473327929465064,5
pam50_luminal_a,genomic,CEP55,0.11075533473127132,6
pam50_luminal_a,genomic,CDC6,0.08844234364772711,7
pam50_luminal_a,genomic,ERBB2,0.0778869899381706,8
pam50_luminal_a,genomic,CDH3,0.07143605073632439,9
pam50_luminal_a,genomic,RRM2,0.07056553441903063,10
pam50_luminal_a,clinical,nodal_N2,0.06408865538397937,11
pam50_luminal_a,genomic,CCNE1,0.06219312630933355,12
pam50_luminal_a,genomic,CXXC5,0.06141686162382441,13
pam50_luminal_a,genomic,CENPF,0.06002846924156191,14
pam50_luminal_a,clinical,age,0.052808242049185244,15
pam50_luminal_a,genomic,PHGDH,0.051776079151559413,16
pam50_luminal_a,genomic,MLPH,0.051470466393976046,17
pam50_luminal_a,genomic,CCNB1,0.04744803530790251,18
pam50_luminal_a,genomic,KRT17,0.043105874607605135,19
pam50_luminal_a,genomic,TMEM45B,0.042782618017461936,20
pam50_luminal_a,clinical,stage_I,0.04210887665714463,21
pam50_luminal_a,genomic,GRB7,0.041372645091007264,22
pam50_luminal_a,genomic,EXO1,0.04062350363486091,23
pam50_luminal_a,genomic,BLVRA,0.03713699758837152,24
pam50_luminal_a,clinical,nodal_N0,0.037026198423439245,25
pam50_luminal_a,genomic,ACTR3B,0.035168162869304055,26
pam50_luminal_a,genomic,FGFR4,0.03399024037024262,27
pam50_luminal_a,genomic,GPR160,0.03381208212815544,28
pam50_luminal_a,genomic,BCL2,0.028578554726631632,29
pam50_luminal_a,genomic,MYBL2,0.027481091482673345,30
pam50_luminal_a,genomic,PGR,0.024947452262642642,31
pam50_luminal_a,genomic,FOXA1,0.022972143340164664,32
pam50_luminal_a,genomic,EGFR,0.022026709503811276,33
pam50_luminal_a,genomic,SLC39A6,0.021920330399284968,34
pam50_luminal_a,clinical,stage_II,0.020996129740033783,35
pam50_luminal_a,clinical,stage_III,0.020720369934115187,36
pam50_luminal_a,clinical,nodal_N1,0.01788376237339636,37
pam50_luminal_a,genomic,SFRP1,0.017428727109586973,38
pam50_luminal_a,genomic,KIF2C,0.016892751631032918,39
pam50_luminal_a,genomic,BIRC5,0.01655116868044934,40
pam50_luminal_a,genomic,KRT14,0.01614397760529524,41
pam50_luminal_a,genomic,MDM2,0.01521809365348664,42
pam50_luminal_a,genomic,CDC20,0.01467874555357065,43
pam50_luminal_a,genomic,BAG1,0.013965708471880136,44
pam50_luminal_a,genomic,MIA,0.013884736074462894,45
pam50_luminal_a,genomic,MYC,0.013466759013862808,46
pam50_luminal_a,clinical,stage_IV,0.012141701776281318,47
pam50_luminal_a,genomic,TYMS,0.011717553091573227,48
pam50_luminal_a,clinical,nodal_N3,0.011503193879724921,49
pam50_luminal_a,genomic,KRT5,0.01109022102537317,50
pam50_luminal_a,genomic,MELK,0.010065239754691995,51
pam50_luminal_a,genomic,ORC6L,0.00979259522219945,52
pam50_luminal_a,genomic,MMP11,0.009428155067121552,53
pam50_luminal_a,genomic,NDC80,0.009219233695532245,54
pam50_luminal_a,genomic,UBE2C,0.008375294020608399,55
pam50_luminal_a,genomic,UBE2T,0.0074137258952257324,56
pam50_luminal_a,genomic,NUF2,0.0062783280402341395,57
pam50_luminal_a,genomic,MKI67,0.006181899408243915,58
pam50_luminal_a,clinical,stage_Unknown,0.0053895593514027475,59
pam50_luminal_a,genomic,PTTG1,0.004936798974506981,60
pam50_luminal_a,clinical,nodal_Unknown,0.00232662233578505,61
pam50_luminal_a,clinical,sex_male,0.0015480637425218688,62
pam50_luminal_b,genomic,ESR1,0.4675798748118073,1
pam50_luminal_b,genomic,FOXC1,0.38694354366625683,2
pam50_luminal_b,genomic,CEP55,0.09455951967886157,3
pam50_luminal_b,genomic,KRT17,0.07550706367228252,4
pam50_luminal_b,genomic,CDH3,0.07305316859543705,5
pam50_luminal_b,clinical,age,0.06353312648929345,6
pam50_luminal_b,genomic,ANLN,0.053142611862895324,7
pam50_luminal_b,genomic,MAPT,0.05159300291956347,8
pam50_luminal_b,genomic,CDC6,0.04581932653720203,9
pam50_luminal_b,genomic,ERBB2,0.04419974300215764,10
pam50_luminal_b,genomic,NAT1,0.0440294931986565,11
pam50_luminal_b,genomic,MLPH,0.043009435841468054,12
pam50_luminal_b,genomic,CCNB1,0.0402126715370061,13
pam50_luminal_b,clinical,nodal_N0,0.03994643738255119,14
pam50_luminal_b,genomic,CCNE1,0.0397907855510025,15
pam50_luminal_b,clinical,nodal_N1,0.03207167479337311,16
